Food Name,Energy (KJ/100g),Sugars (g/100g),Saturated Fat (g/100g),Salt (g/100g),Proteins (g/100g),Fiber (g/100g),Fruit/Veg (%),Categories,Countries,Barcode,Nutri-Score,Ecoscore,Comprehensive Score,Scaled Score,Category
"Gerblé - Sugar Free Coconut Cookie, 132g (4.7oz)",1791.0,0.0,1.5,0.2,6.2,4.1,0,"ขนม-ของว่าง,en:Sweet snacks,ขนมปังกรอบและเค๊ก,en:Biscuits and crackers,บิสกิต,เค้ก,en:Dry biscuits,en:Shortbread cookies,en:Biscuit with reduced sugar,fr:Biscuits édulcorés","en:belgium, en:france, en:thailand",3175681116832,5,54,24.6,3.5,Average
Cranberry saveur amande,1878.0,18.0,1.4,0.29,7.8,6.0,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits","en:france, en:reunion",3175681257542,4,70,30.4,3.5,Good
Tartelettes citron,1895.0,41.0,8.7,0.3,6.0,1.7,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Tartelettes à la préparation de fruits","en:belgium, en:france, en:germany, en:switzerland",3178530402988,1,68,27.800000000000004,3.5,Good
brioche tressée,1431.0,14.0,5.0,0.905,8.0,2.6,0,"Snacks, Snacks sucrés, Viennoiseries, Brioches, Brioches tressées",en:france,3256540001787,2,59,24.8,3.5,Average
Tasty Wholemeal Medium,920.0,4.0,0.5,0.888,10.0,6.75,0,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads","en:france, en:united-kingdom",5010003000339,5,67,29.8,3.5,Good
Sticks et bretzels d'Alsace,1652.0,3.2,2.4,2.8,10.0,6.2,0,"Snacks, Snacks salés, Amuse-gueules, Biscuits apéritifs, Bretzels",en:france,3027030011810,2,66,27.6,3.5,Good
Pringles,2234.0,1.4,3.4,1.4,3.8,2.6,0,"Plant-based foods and beverages,Plant-based foods,Snacks,Salty snacks,Appetizers,Chips and fries,Crisps,Salty snacks made from potato,Чипс","en:armenia, en:belarus, en:belgium, en:bosnia-and-herzegovina, en:bulgaria, en:croatia, en:france, en:hungary, en:kuwait, en:morocco, en:poland, en:romania, en:russia, en:serbia, en:switzerland",5053990101573,2,72,30.0,3.5,Good
Cracotte Gourmande,1628.0,12.0,1.0,1.4,12.0,2.8,0,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Tartines craquantes extrudées","en:belgium, en:france, en:reunion",3041090063152,3,66,28.200000000000003,3.5,Good
Le petit Gerblé nature,1879.0,18.0,1.3,0.19,10.0,5.3,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits",en:france,3175681280502,5,64,28.6,3.5,Good
Carres graines pepites de chocolat,2117.0,28.9,10.8,0.6,8.7,4.5,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits au chocolat noir",en:france,4056489041160,1,65,26.6,3.5,Good
sea salt & cider vinegar chips,2120.0,2.5,3.33,1.77,6.33,5.1,0,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de pommes de terre, Chips au sel et vinaigre, Chips de pommes de terre à l'huile de tournesol","en:france, en:germany, en:switzerland, en:united-kingdom",5060042641406,2,68,28.400000000000002,3.5,Good
huile d’olive vierge extra,3700.0,0.0,16.0,0.0,0.0,0.0,0,"en:Plant-based foods and beverages,en:Plant-based foods,油脂,植物性油脂,en:Olive tree products,植物油,オリーブオイル,エキストラヴァージンオリーブオイル","en:france, en:reunion",8410179012230,3,59,25.400000000000002,3.5,Average
Sablés beurré nantais,1939.0,26.0,11.0,1.4,6.9,2.6,0,"Snacks,Zoete snacks,Koekjes en cakes,Koekjes,Zandkoekjes","en:france, en:germany, en:switzerland",3017760000406,1,62,25.400000000000002,3.5,Good
La paille d’or aux framboises,1539.0,53.0,0.2,0.12,4.3,2.4,0,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits","en:belgium, en:france, en:switzerland",7622210422163,2,57,24.0,3.5,Average
TUC Original,2063.0,11.0,1.7,1.72,8.8,2.8,0,"Snacks, Salty snacks, Appetizers, Meals, Crackers","en:france, en:hungary, en:romania",5410041435702,2,67,28.0,3.5,Good
Pringles original,2252.0,1.4,6.6,1.1,5.9,3.5,0,"Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Tuiles salées","en:france, en:switzerland",5053990156061,2,72,30.0,3.5,Good
Excellence Noir Orange Intense Aux amandes effilées,2229.0,46.0,17.0,0.08,7.0,0.0,0,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Chocolates with almonds,Dark chocolate bar,Dark chocolates with orange","en:canada, en:france",3046920022705,1,70,28.6,3.5,Good
Toblerone,2209.0,60.0,17.0,0.12,5.6,2.4,0,"Botanas,Snacks dulces,Cacao y sus productos,Dulces,Dulces de chocolate,Chocolates,Chocolates con leche,Chocolates con almendras,en:Flavoured chocolates,en:Flavoured milk chocolates,Barra de chocolate con leche y nougat,en:Swiss chocolates","en:australia, en:belgium, en:bolivia, en:denmark, en:finland, en:france, en:germany, en:italy, en:norway, en:poland, en:spain, en:sweden, en:switzerland, en:thailand",7614500010013,1,70,28.6,3.5,Good
Nutri+ avoine chocolat,1900.0,17.0,3.2,0.61,8.2,7.6,0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Oatmeal cookies",en:france,3229820794525,3,61,26.200000000000003,3.5,Good
